symbol,company,salesPrice,drift,volatility,sectors
ZBH,Zimmer Biomet,95.21,0.0003,0.20,HEALTHCARE
PTC,PTC Inc.,155.52,0.0007,0.24,TECHNOLOGY
FTV,Fortive,58.93,0.0005,0.22,INDUSTRIALS
VTRS,Viatris,16.02,0.0001,0.24,HEALTHCARE
EVRG,Evergy,78.94,0.0002,0.13,ENERGY
BALL,Ball Corporation,67.29,0.0003,0.20,INDUSTRIALS
HPQ,HP Inc.,19.63,0.0003,0.22,TECHNOLOGY
WST,West Pharmaceutical Services,247.87,0.0005,0.22,HEALTHCARE
PODD,Insulet Corporation,253.09,0.0007,0.28,HEALTHCARE
APTV,Aptiv,83.64,0.0004,0.30,CONSUMER|INDUSTRIALS
CDW,CDW,135.32,0.0006,0.20,TECHNOLOGY
LNT,Alliant Energy,68.17,0.0002,0.13,ENERGY
TXT,Textron,96.68,0.0004,0.22,INDUSTRIALS
ESS,Essex Property Trust,262.76,0.0003,0.18,REALESTATE
HOLX,Hologic,75.11,0.0004,0.20,HEALTHCARE
J,Jacobs Solutions,142.70,0.0005,0.20,INDUSTRIALS
INVH,Invitation Homes,27.16,0.0003,0.18,REALESTATE
TKO,TKO Group Holdings,210.88,0.0008,0.24,CONSUMER
NDSN,Nordson Corporation,295.64,0.0006,0.20,INDUSTRIALS
DECK,Deckers Brands,115.15,0.0007,0.32,CONSUMER
PNR,Pentair,99.79,0.0006,0.20,INDUSTRIALS
COO,Cooper Companies (The),82.84,0.0004,0.22,HEALTHCARE
MAA,Mid-America Apartment Communities,136.74,0.0003,0.16,REALESTATE
FFIV,F5 Inc.,282.22,0.0004,0.22,TECHNOLOGY
MAS,Masco,76.24,0.0004,0.22,INDUSTRIALS
IEX,IDEX Corporation,211.28,0.0006,0.22,INDUSTRIALS
MRNA,Moderna,40.21,0.0001,0.45,HEALTHCARE
TRMB,Trimble Inc.,65.06,0.0006,0.22,TECHNOLOGY|INDUSTRIALS
ALLE,Allegion,179.40,0.0005,0.18,INDUSTRIALS
HII,Huntington Ingalls Industries,392.15,0.0004,0.22,INDUSTRIALS
CLX,Clorox,125.65,0.0002,0.14,CONSUMER
CF,CF Industries,97.23,0.0004,0.28,INDUSTRIALS
GEN,Gen Digital,24.64,0.0004,0.20,TECHNOLOGY
AVY,Avery Dennison,192.77,0.0004,0.20,INDUSTRIALS
KIM,Kimco Realty,21.96,0.0003,0.18,REALESTATE
HAS,Hasbro,105.26,0.0003,0.22,CONSUMER
ERIE,Erie Indemnity,279.84,0.0006,0.18,FINANCIALS
TYL,Tyler Technologies,339.51,0.0008,0.24,TECHNOLOGY
UHS,Universal Health Services,231.22,0.0005,0.24,HEALTHCARE
BEN,Franklin Resources,27.64,0.0002,0.22,FINANCIALS
ALGN,Align Technology,197.24,0.0004,0.32,HEALTHCARE
SOLV,Solventum,81.25,0.0004,0.20,HEALTHCARE
BBY,Best Buy,66.84,0.0003,0.24,CONSUMER
REG,Regency Centers,76.49,0.0003,0.16,REALESTATE
SWK,Stanley Black & Decker,90.31,0.0003,0.22,INDUSTRIALS|CONSUMER
BF.B,Brown–Forman,30.11,0.0002,0.16,CONSUMER
BLDR,Builders FirstSource,125.44,0.0006,0.34,CONSUMER|INDUSTRIALS
HST,Host Hotels & Resorts,19.98,0.0003,0.22,REALESTATE
AKAM,Akamai Technologies,95.00,0.0003,0.22,TECHNOLOGY
EG,Everest Group,331.67,0.0005,0.16,FINANCIALS
UDR,UDR Inc.,39.84,0.0003,0.18,REALESTATE
TTD,The Trade Desk Inc.,27.19,0.0008,0.40,TECHNOLOGY|CONSUMER
HRL,Hormel Foods,23.79,0.0001,0.16,CONSUMER
DPZ,Domino's,385.50,0.0005,0.22,CONSUMER
ZBRA,Zebra Technologies,250.71,0.0006,0.28,TECHNOLOGY|INDUSTRIALS
GNRC,Generac,214.94,0.0005,0.32,INDUSTRIALS
FOX,Fox Corporation (Class B),56.02,0.0002,0.22,CONSUMER
FOXA,Fox Corporation (Class A),61.76,0.0002,0.22,CONSUMER
GDDY,GoDaddy,91.44,0.0007,0.22,TECHNOLOGY
PSKY,Paramount Skydance Corp,10.96,0.0003,0.32,CONSUMER
WYNN,Wynn Resorts,115.18,0.0004,0.32,CONSUMER
JKHY,Jack Henry & Associates,165.63,0.0004,0.18,TECHNOLOGY|FINANCIALS
CPT,Camden Property Trust,111.66,0.0003,0.18,REALESTATE
DOC,Healthpeak Properties,16.95,0.0003,0.18,REALESTATE
SJM,J.M. Smucker Company (The),109.98,0.0002,0.16,CONSUMER
IVZ,Invesco,26.42,0.0003,0.22,FINANCIALS
AES,AES Corporation,16.45,0.0002,0.24,ENERGY
IT,Gartner,160.21,0.0006,0.22,TECHNOLOGY|FINANCIALS
GL,Globe Life,144.35,0.0004,0.18,FINANCIALS
BAX,Baxter International,22.30,0.0002,0.20,HEALTHCARE
PNW,Pinnacle West,95.57,0.0002,0.13,ENERGY
RVTY,Revvity,100.89,0.0004,0.22,HEALTHCARE
AOS,A. O. Smith,80.03,0.0005,0.20,INDUSTRIALS
AIZ,Assurant,216.77,0.0005,0.16,FINANCIALS
TAP,Molson Coors Beverage Company,52.98,0.0002,0.18,CONSUMER
NCLH,Norwegian Cruise Line Holdings,22.76,0.0005,0.42,CONSUMER
POOL,Pool Corporation,270.70,0.0005,0.24,CONSUMER
EPAM,EPAM Systems,180.79,0.0005,0.32,TECHNOLOGY
APA,APA Corporation,28.11,0.0003,0.36,ENERGY
TECH,Bio-Techne,63.46,0.0004,0.26,HEALTHCARE
MOS,Mosaic Company (The),31.21,0.0003,0.28,INDUSTRIALS
BXP,BXP Inc.,61.61,0.0003,0.20,REALESTATE
DVA,DaVita,144.55,0.0003,0.22,HEALTHCARE
SWKS,Skyworks Solutions,63.62,0.0004,0.32,TECHNOLOGY
HSIC,Henry Schein,81.21,0.0003,0.20,HEALTHCARE
CAG,Conagra Brands,19.95,0.0002,0.16,CONSUMER
MGM,MGM Resorts,36.39,0.0004,0.32,CONSUMER
ARE,Alexandria Real Estate Equities,53.92,0.0003,0.22,REALESTATE
FRT,Federal Realty Investment Trust,107.14,0.0003,0.16,REALESTATE
CPB,Campbell Soup Company,29.16,0.0002,0.14,CONSUMER
NWSA,News Corp (Class A),23.30,0.0002,0.22,CONSUMER
CRL,Charles River Laboratories,164.83,0.0004,0.26,HEALTHCARE
MTCH,Match Group,31.27,0.0004,0.28,CONSUMER|TECHNOLOGY
FDS,FactSet,193.29,0.0006,0.18,FINANCIALS|TECHNOLOGY
LW,Lamb Weston,50.33,0.0003,0.24,CONSUMER
PAYC,Paycom,117.68,0.0006,0.30,TECHNOLOGY|FINANCIALS
MOH,Molina Healthcare,122.46,0.0003,0.26,HEALTHCARE
NWS,News Corp (Class B),26.91,0.0002,0.22,CONSUMER
